	HSK_level	structure
841	3	 ⋯⋯ (的话) ，就 ⋯⋯ 
846	3	 Subj. + 不但 ⋯⋯ ，而且 ⋯⋯ 
851	3	 不但 + Subj. 1 ⋯⋯ ，而且 + Subj. 2 + 也 ⋯⋯ 
856	3	 Subj. + Time Word + 才 + Verb 
859	3	 才 ( + Verb) + Measure Word + Noun 
861	3	 (现在) + 才 + Time 
863	3	 Subj. + Time + 就 + Verb + Obj.＋了 
868	3	 Subj. + 就 + (＋Verb) ＋ Measure Word ＋ Noun 
872	3	 Subj + 才 + Verb + 就 + Verb Phrase 
875	3	 刚 (gāng) vs 刚才 (gāngcái) 
897	3	 一点 (yīdiǎn) vs 有点 (yǒudiǎn) 
913	3	 Subj. + 再 + Verb 
916	3	 Subj. + 再 + Verb + Obj. 
918	3	 Subj. + (先) + Action 1 + 再 + Action 2 
922	3	 Subj. + 又 + Verb + 了 
926	3	 Subj. + 又 + 助动词 / 谓语动词 + Obj. 
0	4	 全 + Noun + 都 + Predicate 
5	4	 Subj. + 全都 + Predicate 
10	4	 Subj. + 全都 + 不 / 没 + Predicate 
15	4	 Subj. + 不 / 没 + 全都 + Predicate 
20	4	 Adj. + 死了 
33	4	 Subj. + 差不多 
38	4	 A + 跟 / 和 + B + 差不多 
43	4	 差不多 + Adj. / Verb 
48	4	 差不多 ＋ [Quantity Phrase] / [Time Phrase] 
53	4	 看来 + Perspective 
56	4	 在 + Person + 看来 + Perspective 
58	4	 Subj. + 正好 + [Verb Phrase] 
68	4	 又 + 不 / 没 + Predicate 
78	4	 可 + Verb / Adj. 
84	4	 原来 + 的 + Noun :: / :: Subj. + 原来 + Predicate 
89	4	 原来 + [New Information] 
94	4	 Subj. + 差点 + Predicate :: / :: Subj. + 差点 (+就) + Predicate + 了 
104	4	 Subj. + 从来 + 都 (是) + Predicate 
112	4	 Reason / Condition ，结果 + Result 
117	4	 Situation ，结果 + [Unexpected Result] 
122	4	 (Reason,) 恐怕 ⋯⋯ 
133	4	 够 + Verb / Adj. + 了 
138	4	 Subj. + (不 + ) 够 + Adj. / Verb 
146	4	 A，B，甚至 C + 都 / 也 ⋯⋯ 
149	4	 ⋯⋯，甚至 ⋯⋯ 
154	4	 Subj. + 还是 + [Verb Phrase] + 吧 
164	4	 Subj. + 最好 ( + 别 / 不要 ) + Predicate 
174	4	 到底 ⋯⋯ ，Reason / Characteristic 
177	4	 到底 + Question Word :: / :: 到底 + Verb＋不 / 没＋Verb 
184	4	 到底＋Verb＋了 
187	4	 究竟 + Question Word 
192	4	 究竟＋Verb＋没 / 不＋Verb 
197	4	 A＋究竟 + 是＋ A，…… 
202	4	 Subj. + 刚 / 刚刚  + Verb (+ Obj.) + Duration 
212	4	 一 + Measure Word + 一 + Measure Word (+ Noun) 
216	4	 一 + Time Unit + 一 + Time Unit (+ Noun) 
218	4	 一 + [Measure Word] (+ 又) + 一 + [Measure Word] 
222	4	 Subj. + 本来 + 是 +（不）要 / 会 / 应该 + Verb + 的，但是 / 可是 ... 
227	4	 Subj. + 本来 + 就... 
232	4	 Subj. + 本来 + 就 + 很 / 不 + Adj. :: / :: Subj. + 本来 + 就 + 会 / 要 / 得 / 应该 + Verb 
237	4	 就 + Subj. + Predicate 
242	4	 Subj. + 就 + [Verb Phrase] 
247	4	 Subj. + 就 + Number + [Measure Word] + Noun 
252	4	 Subj. + 竟然 ⋯⋯ 
258	4	 千万 + Verb/Verb Phrase 
268	4	 难道 + [Rhetorical Question] 
273	4	 先 ⋯⋯ ，再 ⋯⋯ :: / :: 先 + [Verb Phrase] + 再说 
284	4	 Subj. + 也都 （ + 不 / 没） + Predicate 
294	4	 挺 + Adj. / [Verb Phrase] + 的 
304	4	 Noun 1, Noun 2 (+ Noun 3) + 什么的 
314	4	 A1，A2 ⋯⋯ 等 / 等等 :: / :: A1，A2 ⋯⋯ 等 + [Category] + Predicate 
324	4	 ⋯⋯ ，不过 ⋯⋯ 
334	4	 ⋯⋯ ，于是 (+ Subj.) ⋯⋯ + 了 
341	4	 ⋯⋯ ，于是 (+ Subj.) ⋯⋯ + 了 :: (因此 vs. 于是)
342	4	 ⋯⋯ ，还有 ，⋯⋯ 
352	4	 ⋯⋯ ，另外 ，⋯⋯ :: / :: 另外 + [Verb Phrase] 
362	4	 ⋯⋯ ，再说 ，⋯⋯ 
372	4	 Statement， 可是 / 但是 + [Contrary Statement] 
382	4	 是……，而不是…… :: / :: 不是……，而是…… 
391	4	 Sentence 1， + 而 + Sentence 2 
394	4	 通过 / 用 + Method + 来 + [Verb Phrase] 
404	4	 Category / Group / Context + 其中 
408	4	 Denominator + 分之 + Numerator 
413	4	 A + 是 / 占 + B + 的 + Denominator + 分之 + Numerator 
418	4	 Statement + 吗 ？ :: / :: Confirmation + Question + 吗 ？ 
438	4	 Option 1 + 吧 ，⋯⋯ ；Option 2 + 吧 ，⋯⋯ 
448	4	 Statement + 的 
458	4	 Subj. + 随着 + Noun + Verb Phrase 
463	4	 随着 + [Noun Phrase] ，Subj. + Predicate 
468	4	 在 + Topic + 上 ，Subj. ⋯⋯ 
472	4	 在 ⋯⋯ 下 ，⋯⋯ 
476	4	 在 + Topic + 方面 ，Subj. ⋯⋯ 
480	4	 以 + A + 为 + B 
487	4	 Subj. + 并 + 不 + Verb / Adj. :: / :: Subj. + 并 + 没（有) + Verb 
492	4	 Subj. + [Causative Verb] + Person + Predicate 
502	4	 这 / 那 + 要看 / 得看 + [Unclear Situation] 
507	4	 [Unknown Outcome] + 要看 / 得看 + [Unclear Situation] 
512	4	 Subj. + 好像 ⋯⋯ 
522	4	 ⋯⋯ 在于 ⋯⋯ :: / :: ⋯⋯ 在于 + Person / Party 
530	4	 Subj. + 以为 ⋯⋯ 
541	4	 通过 + Agent / Method ，Subj. ⋯⋯ 
551	4	 Subj. + 来自 + Place 
561	4	 (让 +) Subj. + 来 
568	4	 Subj. + 不用 + [Verb Phrase] 
578	4	 Subj. + 得 + [Verb Phrase] 
588	4	 Verb / [Verb Phrase 1] + 并(且) + Verb / [Verb Phrase 2] 
598	4	 少 + Verb 
608	4	 多 + Verb 
621	4	 Topic + 由 + Person + Verb 
624	4	 Subj. + 从来 + 不 + [Verb Phrase] 
629	4	 Subj. + 从来 + 没(有) + Verb + 过 
634	4	 值得 + Verb / [Verb Phrase] :: / :: ([Verb Phrase]) + 值得 
640	4	 Verb (+ 一直) + 到 + Time / Event 
643	4	 [Verb Phrase] (+ 一直) + Verb + 到 + Time / Event 
650	4	 Reason，害得 / 害 + Undesirable situation 
661	4	 Verb + Object :: / :: Verb... [Other Stuff]... Object 
663	4	 跟 + Person + Verb + Object 
666	4	 Verb + 了 / 过 / 着 + Object 
674	4	 Verb + [Measure Word Phrase] + Object 
680	4	 Verb + Verb + Object 
689	4	 Verb + 着 + Verb + 着 + 就 + Comment + 了 
692	4	 尽管⋯⋯ ，但是 + Subj. + 还是⋯⋯ 
699	4	 ⋯⋯ ，Subj. + 倒 + (也 / 又) ⋯⋯ 
703	4	 Subj. + 倒 ⋯⋯ ，不过 / 但是 / 就是 ⋯⋯ 
707	4	 Sentence ，(但是 +) Subj. + 却 ⋯⋯ 
717	4	 由于 + Cause，Effect 
722	4	 既然＋Fact, 那 / 就 / 那就＋Suggestion / Inference :: / :: 既然 + Fact, （那 +）rhetorical question 
732	4	 Cause + 因此 + Effect 
735	4	 Verb + 起来 :: / :: Subj. + 把 + Obj. + Verb + 起来 
743	4	 Verb + 来 / 去 
750	4	 Verb + [Compound Direction Complement] 
754	4	 Verb + Object + Complement 
761	4	 Subj. + 把 + Obj. + Verb + [Direction Complement] 
782	4	 Verb + 起来 
786	4	 Verb / Adj. + 起来 +了 
794	4	 Subj. + Verb + 起来 + Adv. + Adj. 
799	4	 Subj. + Verb + 不 / 得 + Complement 
810	4	 只要 + Condition ，就 + Result 
820	4	 Result / Fact ，除非 + Condition 
825	4	 Condition, (要) 不然 + Result 
828	4	 除非 + Condition ，否则 / 不然 + Result / Fact 
833	4	 除非 x，才 y 
836	4	 即使 ⋯⋯ ，也 ⋯⋯ 
843	4	 要是 + Subj. ⋯⋯ ， 就 ⋯⋯ 
848	4	 要不是 ⋯⋯ ，⋯⋯ 
858	4	 不管 + Question Word ，(Subj. +) 都 ⋯⋯ 
863	4	 不管 + 是 + Option A + 还是 + Option B ，Subj. + 都 ⋯⋯ :: / :: 不管 + Verb / Adj. + 不 + Verb / Adj. ，Subj. + 都 ⋯⋯ 
868	4	 不管 + 多 + Adj., Subj. + 都 ⋯⋯ 
873	4	 无论 + Circumstances + 都 / 也 + Inevitable Result 
877	4	 所有 (+ 的) + Noun 
881	4	 所有 (+ 的) + Noun + 都 + Predicate 
885	4	 不是 + 所有 (+ 的) + Noun + 都 + Predicate 
889	4	 Subj. + 是 + [Noun Phrase] + 之一 :: / :: [Noun Phrase] + 之一 + 是 ⋯⋯ 
899	4	 另外 + Number + [Measure Word] + Noun 
909	4	 连 + Verb + 都 + 不 / 没 + Verb (，就 ⋯⋯) 
913	4	 连 + 一 + Measure Word (+ Noun) + 都 + 不 / 没 + Verb 
916	4	 Subj. (+ 不) + 为 + Goal + 而 + Efforts Made 
926	4	 既 + A + 又 + B 
929	4	 既 + [Verb Phrase] ，也 + [Verb Phrase] 
932	4	 在 + Place :: / :: 在 + Location+ 上 / 下 / 里 / 旁边 :: / :: 在 + Occasion + 上 
947	4	 连 + Obj. + 都 (+ 不 / 没) + Verb 
959	4	 谁 + 都 + Predicate 
962	4	 哪儿 / 哪里 (+ Verb) + 都 + Predicate 
965	4	 什么时候 (+ Verb) + 都 + Predicate 
968	4	 Verb + 多少 + 都 + Predicate 
971	4	 怎么 + Verb + 都 + Predicate 
974	4	 A + 是 + B + 的 + Number + 倍 :: / :: A + 比 + B + Adj. + Number + 倍 
983	4	 Subj. + 一点 + 也 / 都 + 不 + Adj. / [Verb Phrase] 
995	4	 Subj. + 不知道 + [Verb Phrase] + 好 
1005	4	 对 + Person + 来说 ，⋯⋯ :: / :: Word + 来说 
1018	4	 Adj. + 是 + Adj. ， 但是 / 就是 ⋯⋯ 
1028	4	 一 + Event 1，就 + Event 2 
1033	4	 一 + Reason，就 + Result 
1038	4	 一 方面 ⋯⋯ ， (另) 一 方面 ⋯⋯ 
1048	4	 Subj. + 不仅 / 不但 / 不只 + ⋯⋯，而且 / 还 / 也 + ⋯⋯ 
1057	4	 Subj. + 本来 + 是 +（不）要 / 会 / 应该 + Verb + 的，但是 / 可是⋯⋯ 
1062	4	 Subj. + 本来 + 就 ＋ ⋯⋯ 
